"","measure","pitch","fret","mod.fret","string","modification","distance","int","section","rhy","idx","moving.avg"
"143",32,"D4",7,7,1,"",2," -2, +0","B",0.25,68,1.75
"144",32,"C#4",6,6,1,"",1," -1, +0","B",0.25,69,1.5
"145",32,"B3",4,4,1,"",2," -2, +0","B",0.25,70,1.75
"146",32,"A3",2,2,1,"",2," -2, +0","B",0.25,71,1.75
"147",32,"G3",0,2,1,"D",0," +0, +0","B",0.25,72,1.25
"148",32,"F#3",4,4,2,"",2.23606797749979," +2, +1","B",0.25,73,1.55901699437495
"149",32,"E3",2,2,2,"",2," -2, +0","B",0.25,74,1.55901699437495
"150",32,"D3",0,2,2,"D",0," +0, +0","B",0.25,75,1.05901699437495
"151",32,"C#3",4,4,3,"",2.23606797749979," +2, +1","B",0.25,76,1.61803398874989
"152",32,"B2",2,2,3,"",2," -2, +0","B",0.25,77,1.55901699437495
"153",33,"A2",0,2,3,"D",0," +0, +0","B",0.75,78,1.05901699437495
"154",33,"B2",2,2,3,"",0," +0, +0","B",0.25,79,1.05901699437495
"155",33,"C#3",4,4,3,"",2," +2, +0","B",0.333333,80,1
"156",33,"D3",0,4,2,"D",1," +0, -1","B",0.333333,81,0.75
"157",33,"E3",2,2,2,"",2," -2, +0","B",0.333333,82,1.25
"158",33,"F#3",4,4,2,"",2," +2, +0","B",0.333333,83,1.75
"159",33,"E3",2,2,2,"",2," -2, +0","B",0.333333,84,1.75
"160",33,"D3",0,2,2,"D",0," +0, +0","B",0.333333,85,1.5
"161",33,"E3",2,2,2,"",0," +0, +0","B",0.333333,86,1
"162",33,"F#3",4,4,2,"",2," +2, +0","B",0.333333,87,1
"163",33,"G3",0,4,1,"D",1," +0, -1","B",0.333333,88,0.75
"164",34,"A3",2,2,1,"",2," -2, +0","B",0.333333,89,1.25
"165",34,"G3",0,2,1,"D",0," +0, +0","B",0.333333,90,1.25
"166",34,"F#3",4,4,2,"",2.23606797749979," +2, +1","B",0.333333,91,1.30901699437495
"167",34,"G3",0,4,1,"D",1," +0, -1","B",0.333333,92,1.30901699437495
"168",34,"A3",2,2,1,"",2," -2, +0","B",0.333333,93,1.30901699437495
"169",34,"B3",4,4,1,"",2," +2, +0","B",0.333333,94,1.80901699437495
"170",34,"C#4",6,6,1,"",2," +2, +0","B",0.333333,95,1.75
"171",34,"B3",4,4,1,"",2," -2, +0","B",0.333333,96,2
"172",34,"A3",2,2,1,"",2," -2, +0","B",0.333333,97,2
"173",34,"B3",4,4,1,"",2," +2, +0","B",0.333333,98,2
"174",34,"C#4",6,6,1,"",2," +2, +0","B",0.333333,99,2
"175",34,"D4",7,7,1,"",1," +1, +0","B",0.333333,100,1.75
"176",35,"E4",9,9,1,"",2," +2, +0","B",0.333333,101,1.75
"177",35,"D4",7,7,1,"",2," -2, +0","B",0.333333,102,1.75
"178",35,"C#4",6,6,1,"",1," -1, +0","B",0.333333,103,1.5
"179",35,"D4",7,7,1,"",1," +1, +0","B",0.333333,104,1.5
"180",35,"E4",9,9,1,"",2," +2, +0","B",0.333333,105,1.5
"181",35,"F#4",11,11,1,"",2," +2, +0","B",0.333333,106,1.5
"182",35,"G4",12,12,1,"",1," +1, +0","B",0.333333,107,1.5
"183",35,"F#4",16,16,2,"",4.12310562561766," +4, +1","B",0.333333,108,2.28077640640441
"184",35,"E4",14,14,2,"",2," -2, +0","B",0.333333,109,2.28077640640441
"185",35,"F#4",16,16,2,"",2," +2, +0","B",0.333333,110,2.28077640640441
"186",35,"G4",12,12,1,"",4.12310562561766," -4, -1","B",0.333333,111,3.06155281280883
"187",35,"B4",16,16,1,"",4," +4, +0","B",0.333333,112,3.03077640640441
"188",36,"A4",14,14,1,"",2," -2, +0","B",0.5,113,3.03077640640441
"189",36,"D5",19,19,1,"",5," +5, +0","B",0.25,114,3.78077640640441
"190",36,"C#5",18,18,1,"",1," -1, +0","B",0.25,115,3
"191",36,"B4",16,16,1,"",2," -2, +0","B",0.25,116,2.5
"192",36,"A4",14,14,1,"",2," -2, +0","B",0.25,117,2.5
"193",36,"G4",12,12,1,"",2," -2, +0","B",0.25,118,1.75
"194",36,"F#4",11,11,1,"",1," -1, +0","B",0.25,119,1.75
"195",36,"E4",9,9,1,"",2," -2, +0","B",0.25,120,1.75
"196",36,"D4",7,7,1,"",2," -2, +0","B",0.25,121,1.75
"197",36,"C#4",6,6,1,"",1," -1, +0","B",0.25,122,1.5
"198",36,"B3",4,4,1,"",2," -2, +0","B",0.25,123,1.75
"199",36,"A3",2,2,1,"",2," -2, +0","B",0.25,124,1.75
"200",36,"G3",0,2,1,"D",0," +0, +0","B",0.25,125,1.25
"201",36,"F#3",4,4,2,"",2.23606797749979," +2, +1","B",0.25,126,1.55901699437495
"202",36,"E3",2,2,2,"",2," -2, +0","B",0.25,127,1.55901699437495
"203",37,"D3",0,2,2,"D",0," +0, +0","B",2,128,1.05901699437495
"204",37,"F#3",4,4,2,"",2," +2, +0","B",1.5,129,1.55901699437495
"205",37,"E3",2,2,2,"",2," -2, +0","B",0.5,130,1.5
"206",38,"D3",5,5,3,"",3.16227766016838," +3, +1","B",2,131,1.79056941504209
"207",42,"A2",0,NA,3,NA,NA," NA, NA","C",2,1,1
"208",42,"A4",14,14,1,NA,NA," NA, -2","C",1.5,2,1
"209",42,"A4",14,14,1,NA,0," +0, +0","C",0.5,3,1
"210",43,"A4",14,14,1,NA,0," +0, +0","C",0.5,4,NA
"211",43,"G4",12,12,1,NA,2," -2, +0","C",0.25,5,NA
"212",43,"A4",14,14,1,NA,2," +2, +0","C",0.25,6,1
"213",43,"B4",16,16,1,NA,2," +2, +0","C",0.25,7,1.5
"214",43,"A4",14,14,1,NA,2," -2, +0","C",0.25,8,2
"215",43,"G4",12,12,1,NA,2," -2, +0","C",0.25,9,2
"216",43,"B4",16,16,1,NA,4," +4, +0","C",0.25,10,2.5
"217",43,"A4",14,14,1,NA,2," -2, +0","C",0.5,11,2.5
"218",43,"B4",16,16,1,NA,2," +2, +0","C",0.25,12,2.5
"219",43,"A4",14,14,1,NA,2," -2, +0","C",0.25,13,2.5
"220",43,"G4",12,12,1,NA,2," -2, +0","C",0.25,14,2
"221",43,"F#4",16,16,2,NA,4.12310562561766," +4, +1","C",0.25,15,2.53077640640441
"222",43,"E4",14,14,2,NA,2," -2, +0","C",0.25,16,2.53077640640441
"223",43,"D4",12,12,2,NA,2," -2, +0","C",0.25,17,2.53077640640441
"224",44,"E4",14,14,2,NA,2," +2, +0","C",0.333333,18,2.53077640640441
"225",44,"F#4",16,16,2,NA,2," +2, +0","C",0.333333,19,2
"226",44,"G4",12,12,1,NA,4.12310562561766," -4, -1","C",0.333333,20,2.53077640640441
"227",44,"A4",14,14,1,NA,2," +2, +0","C",0.333333,21,2.53077640640441
"228",44,"B4",16,16,1,NA,2," +2, +0","C",0.333333,22,2.53077640640441
"229",44,"C#5",18,18,1,NA,2," +2, +0","C",0.333333,23,2.53077640640441
"230",44,"D5",19,19,1,NA,1," +1, +0","C",0.333333,24,1.75
"231",44,"A4",14,14,1,NA,5," -5, +0","C",0.333333,25,2.5
"232",44,"A4",14,14,1,NA,0," +0, +0","C",0.333333,26,2
"233",44,"A4",14,14,1,NA,0," +0, +0","C",0.333333,27,1.5
"234",44,"G4",12,12,1,NA,2," -2, +0","C",0.333333,28,1.75
"235",44,"F#4",16,16,2,NA,4.12310562561766," +4, +1","C",0.333333,29,1.53077640640441
"236",45,"G4",12,12,1,NA,4.12310562561766," -4, -1","C",0.333333,30,2.56155281280883
"237",45,"F#4",16,16,2,NA,4.12310562561766," +4, +1","C",0.333333,31,3.59232921921324
"238",45,"E4",14,14,2,NA,2," -2, +0","C",0.333333,32,3.59232921921324
"239",45,"E4",14,14,2,NA,0," +0, +0","C",0.333333,33,2.56155281280883
"240",45,"D4",12,12,2,NA,2," -2, +0","C",0.333333,34,2.03077640640441
"241",45,"C#4",16,16,3,NA,4.12310562561766," +4, +1","C",0.333333,35,2.03077640640441
"242",45,"D4",12,12,2,NA,4.12310562561766," -4, -1","C",0.75,36,2.56155281280883
"243",45,"A3",12,12,3,NA,1," +0, +1","C",0.25,37,2.81155281280883
"244",45,"B3",14,14,3,NA,2," +2, +0","C",0.333333,38,2.81155281280883
"245",45,"C#4",16,16,3,NA,2," +2, +0","C",0.333333,39,2.28077640640441
"246",45,"D4",12,12,2,NA,4.12310562561766," -4, -1","C",0.333333,40,2.28077640640441
"247",46,"E4",14,14,2,NA,2," +2, +0","C",0.333333,41,2.53077640640441
"248",46,"B3",14,14,3,NA,1," +0, +1","C",0.333333,42,2.28077640640441
"249",46,"C#4",16,16,3,NA,2," +2, +0","C",0.333333,43,2.28077640640441
"250",46,"D4",12,12,2,NA,4.12310562561766," -4, -1","C",0.333333,44,2.28077640640441
"251",46,"E4",14,14,2,NA,2," +2, +0","C",0.333333,45,2.28077640640441
"252",46,"F#4",16,16,2,NA,2," +2, +0","C",0.333333,46,2.53077640640441
"253",46,"G4",12,12,1,NA,4.12310562561766," -4, -1","C",0.333333,47,3.06155281280883
"254",46,"E4",14,14,2,NA,2.23606797749979," +2, +1","C",0.333333,48,2.58979340077936
"255",46,"F#4",16,16,2,NA,2," +2, +0","C",0.333333,49,2.58979340077936
"256",46,"G4",12,12,1,NA,4.12310562561766," -4, -1","C",0.333333,50,3.12056980718378
"257",46,"A4",14,14,1,NA,2," +2, +0","C",0.333333,51,2.58979340077936
"258",46,"B4",16,16,1,NA,2," +2, +0","C",0.333333,52,2.53077640640441
"259",47,"A4",14,14,1,NA,2," -2, +0","C",0.333333,53,2.53077640640441
"260",47,"F#4",16,16,2,NA,2.23606797749979," +2, +1","C",0.333333,54,2.05901699437495
"261",47,"G4",12,12,1,NA,4.12310562561766," -4, -1","C",0.333333,55,2.58979340077936
"262",47,"A4",14,14,1,NA,2," +2, +0","C",0.333333,56,2.58979340077936
"263",47,"B4",16,16,1,NA,2," +2, +0","C",0.333333,57,2.58979340077936
"264",47,"C#5",18,18,1,NA,2," +2, +0","C",0.333333,58,2.53077640640441
"265",47,"D5",24,24,2,NA,NA," +6, NA","C",0.333333,59,NA
"266",47,"A4",NA,24,3,NA,1," +0, +1","C",0.333333,60,NA
"267",47,"D5",24,24,2,NA,1," +0, -1","C",0.333333,61,NA
"268",47,"F#5",27,27,2,NA,3," +3, +0","C",0.333333,62,NA
"269",47,"D5",24,24,2,NA,3," -3, +0","C",0.333333,63,2
"270",47,"F#5",27,27,2,NA,3," +3, +0","C",0.333333,64,2.5
"271",48,"A5",31,31,2,NA,4," +4, +0","C",0.333333,65,3.25
"272",48,"D5",24,24,2,NA,7," -7, +0","C",0.333333,66,4.25
"273",48,"F#5",27,27,2,NA,3," +3, +0","C",0.333333,67,4.25
"274",48,"A5",31,31,2,NA,4," +4, +0","C",0.333333,68,4.5
"275",48,"F#5",27,27,2,NA,4," -4, +0","C",0.333333,69,4.5
"276",48,"A5",31,31,2,NA,4," +4, +0","C",0.333333,70,3.75
"277",48,"D6",36,36,2,NA,5," +5, +0","C",0.333333,71,4.25
"278",48,"A5",31,31,2,NA,5," -5, +0","C",0.333333,72,4.5
"279",48,"F#5",27,27,2,NA,4," -4, +0","C",0.333333,73,4.5
"280",48,"A5",31,31,2,NA,4," +4, +0","C",0.333333,74,4.5
"281",48,"F#5",27,27,2,NA,4," -4, +0","C",0.333333,75,4.25
"282",48,"D5",24,24,2,NA,3," -3, +0","C",0.333333,76,3.75
"283",49,"E5",31,31,3,NA,7.07106781186548," +7, +1","C",2.5,77,4.51776695296637
"284",49,"r",NA,31,NA,NA,NA," +0, NA","C",NA,78,NA
"285",49,"A4",14,14,1,NA,NA,"-17, NA","C",0.75,79,NA
"286",49,"A4",14,14,1,NA,0," +0, +0","C",0.25,80,NA
"287",50,"A4",14,14,1,NA,0," +0, +0","C",0.5,81,NA
"288",50,"G4",12,12,1,NA,2," -2, +0","C",0.25,82,NA
