"","measure","pitch","fret","mod.fret","string","modification","distance","int","section","rhy","idx","moving.avg"
"342",54,"D4",12,12,2,NA,1," +0, -1","C",0.333333,136,3.76246890528023
"343",54,"F#4",16,16,2,NA,4," +4, +0","C",0.333333,137,4.51246890528023
"344",55,"A4",19,19,2,NA,3," +3, +0","C",0.5,138,2.75
"345",55,"D5",24,24,2,NA,5," +5, +0","C",0.5,139,3.25
"346",55,"F#5",27,27,2,NA,NA," +3, NA","C",0.5,140,NA
"347",55,"A5",31,31,2,NA,4," +4, +0","C",0.5,141,NA
"348",55,"D6",36,36,2,NA,5," +5, +0","C",0.5,142,NA
"349",55,"A5",31,31,2,NA,5," -5, +0","C",0.5,143,NA
"350",55,"F#5",27,27,2,NA,4," -4, +0","C",0.5,144,4.5
"351",55,"D5",24,24,2,NA,3," -3, +0","C",0.5,145,4.25
"352",56,"E5",26,26,2,NA,2," +2, +0","C",4,146,3.5
"353",57,"D5",24,24,2,NA,2," -2, +0","C",0.25,147,2.75
"354",57,"E5",26,26,2,NA,2," +2, +0","C",0.25,148,2.25
"355",57,"D5",24,24,2,NA,2," -2, +0","C",1,149,2
"356",108,"D4",12,12,2,NA,NA," NA, NA","E24",0.333333,1,1
"357",108,"G4",12,12,1,NA,1," +0, -1","E24",0.333333,2,1
"358",108,"B4",16,16,1,NA,4," +4, +0","E24",0.333333,3,1
"359",108,"D5",19,19,1,NA,NA," +3, NA","E24",0.333333,4,NA
"360",108,"G5",24,24,1,NA,5," +5, +0","E24",0.333333,5,NA
"361",108,"B5",27,27,1,NA,3," +3, +0","E24",0.333333,6,NA
"362",108,"D6",31,31,1,NA,4," +4, +0","E24",0.333333,7,NA
"363",108,"C6",34,34,2,NA,3.16227766016838," +3, +1","E24",0.333333,8,3.79056941504209
"364",108,"B5",27,27,1,NA,7.07106781186548," -7, -1","E24",0.333333,9,4.30833636800847
"365",108,"C6",34,34,2,NA,7.07106781186548," +7, +1","E24",1,10,5.32610332097483
"366",109,"D4",12,12,2,NA,NA,"-22, NA","E24",0.333333,11,NA
"367",109,"F#4",16,16,2,NA,4," +4, +0","E24",0.333333,12,NA
"368",109,"A4",19,19,2,NA,3," +3, +0","E24",0.333333,13,NA
"369",109,"D5",24,24,2,NA,NA," +5, NA","E24",0.333333,14,NA
"370",109,"F#5",27,27,2,NA,3," +3, +0","E24",0.333333,15,NA
"371",109,"A5",31,31,2,NA,4," +4, +0","E24",0.333333,16,NA
"372",109,"C6",34,34,2,NA,3," +3, +0","E24",0.333333,17,NA
"373",109,"B5",27,27,1,NA,7.07106781186548," -7, -1","E24",0.333333,18,4.26776695296637
"374",109,"A5",31,31,2,NA,4.12310562561766," +4, +1","E24",0.333333,19,4.54854335937079
"375",109,"B5",27,27,1,NA,4.12310562561766," -4, -1","E24",1,20,4.5793197657752
"376",110,"G4",12,12,1,NA,NA,"-15, NA","E24",0.333333,21,NA
"377",110,"B4",16,16,1,NA,4," +4, +0","E24",0.333333,22,NA
"378",110,"D5",19,19,1,NA,NA," +3, NA","E24",0.333333,23,NA
"379",110,"G5",24,24,1,NA,5," +5, +0","E24",0.333333,24,NA
"380",110,"B5",27,27,1,NA,3," +3, +0","E24",0.333333,25,NA
"381",110,"D6",31,31,1,NA,4," +4, +0","E24",0.333333,26,NA
"382",110,"G6",36,36,1,NA,5," +5, +0","E24",0.333333,27,4.25
"383",110,"D6",31,31,1,NA,5," -5, +0","E24",0.333333,28,4.25
"384",110,"B5",27,27,1,NA,4," -4, +0","E24",0.333333,29,4.5
"385",110,"A5",31,31,2,NA,4.12310562561766," +4, +1","E24",0.333333,30,4.53077640640442
"386",110,"E6",31,31,3,NA,1," +0, +1","E24",0.333333,31,3.53077640640441
"387",110,"E6",31,31,3,NA,0," +0, +0","E24",0.333333,32,2.28077640640441
"388",111,"D6",31,31,1,NA,2," +0, -2","E24",0.333333,33,1.78077640640441
"389",111,"B5",27,27,1,NA,4," -4, +0","E24",0.333333,34,1.75
"390",111,"G5",24,24,1,NA,3," -3, +0","E24",0.333333,35,2.25
"391",111,"C6",34,34,2,NA,10.0498756211209,"+10, +1","E24",0.333333,36,4.76246890528023
"392",111,"A5",31,31,2,NA,3," -3, +0","E24",0.333333,37,5.01246890528023
"393",111,"F#5",27,27,2,NA,4," -4, +0","E24",0.333333,38,5.01246890528023
"394",111,"G5",24,24,1,NA,3.16227766016838," -3, -1","E24",0.333333,39,5.05303832032232
"395",111,"B5",27,27,1,NA,3," +3, +0","E24",0.333333,40,3.29056941504209
"396",111,"G5",24,24,1,NA,3," -3, +0","E24",0.333333,41,3.29056941504209
"397",111,"D5",19,19,1,NA,5," -5, +0","E24",0.333333,42,3.54056941504209
"398",111,"B4",16,16,1,NA,3," -3, +0","E24",0.333333,43,3.5
"399",111,"G4",12,12,1,NA,4," -4, +0","E24",0.333333,44,3.75
"400",111,"*-",NA,12,NA,NA,NA," +0, NA","E24",NA,45,NA
